flight,route,time,dt_seconds,flight_progress,wind_speed,wind_sin,wind_cos,programmed_speed_mps,actual_speed_mps,horizontal_speed_mps,vertical_speed_mps,vertical_speed_abs_mps,relative_air_speed_mps,wind_alignment,wind_cross_component_mps,payload_kg,altitude_m,dynamic_accel_norm,angular_rate_norm,obstacle_agility_index,thermal_load_proxy,vision_energy_proxy_w,communication_energy_proxy_w,route_H,route_R1,route_R2,route_R3,route_R4,route_R5,route_R6
999001,R1,0.0,1.0,0.0,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03,0.7205,79.73518023316907,3.315449509312797,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,1.0,1.0,0.005555555555555556,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030012183459618084,0.7205042642108663,79.73518023316907,3.315450788576057,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,2.0,1.0,0.011111111111111112,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030048718994803512,0.7205170516481813,79.73518023316907,3.3154546248072516,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,3.0,1.0,0.016666666666666666,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03010956209263453,0.7205383467324221,79.73518023316907,3.3154610133325235,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,4.0,1.0,0.022222222222222223,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030194638625168593,0.7205681235188091,79.73518023316907,3.31546994636844,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,5.0,1.0,0.027777777777777776,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03030384493975584,0.7206063457289146,79.73518023316907,3.3154814130314714,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,6.0,1.0,0.03333333333333333,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030437047985323887,0.7206529667948633,79.73518023316907,3.315495399351256,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,7.0,1.0,0.03888888888888889,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03059408547448007,0.7207079299160681,79.73518023316907,3.3155118882876176,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,8.0,1.0,0.044444444444444446,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030774766081233623,0.7207711681284318,79.73518023316907,3.3155308597513264,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,9.0,1.0,0.05,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.030978869674096927,0.720842604385934,79.73518023316907,3.315552290628577,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,10.0,1.0,0.05555555555555555,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03120614758428183,0.7209221516544986,79.73518023316907,3.3155761548091465,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,11.0,1.0,0.06111111111111111,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03145632290866425,0.7210097130180324,79.73518023316907,3.315602423218207,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,12.0,1.0,0.06666666666666667,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03172909084714798,0.7211051817965017,79.73518023316907,3.3156310638517477,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,13.0,1.0,0.07222222222222222,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03202411907401666,0.7212084416759059,79.73518023316907,3.315662041815569,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,14.0,1.0,0.07777777777777778,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03234104814282146,0.7213193668499875,79.73518023316907,3.3156953193677934,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,15.0,1.0,0.08333333333333333,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03267949192431122,0.7214378221735089,79.73518023316907,3.31573085596485,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,16.0,1.0,0.08888888888888889,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03303903807687148,0.721563663326905,79.73518023316907,3.3157686083108686,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,17.0,1.0,0.09444444444444444,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03341924854889917,0.7216967369921148,79.73518023316907,3.3158085304104317,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,18.0,1.0,0.1,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03381966011250105,0.7218368810393754,79.73518023316907,3.3158505736246098,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,19.0,1.0,0.10555555555555556,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03423978492786556,0.7219839247247529,79.73518023316907,3.315894686730223,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,20.0,1.0,0.1111111111111111,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03467911113762044,0.7221376888981672,79.73518023316907,3.3159408159822474,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,21.0,1.0,0.11666666666666667,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03513710349045211,0.7222979862216583,79.73518023316907,3.3159889051792946,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,22.0,1.0,0.12222222222222222,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.035613203993226976,0.7224646213976293,79.73518023316907,3.316038895732086,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,23.0,1.0,0.12777777777777777,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03610683259082005,0.722637391406787,79.73518023316907,3.316090726734833,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,24.0,1.0,0.13333333333333333,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.036617387872822836,0.722816085755488,79.73518023316907,3.3161443350394433,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,25.0,1.0,0.1388888888888889,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,0.35,0.03714424780626921,0.7230004867321942,79.73518023316907,3.3161996553324555,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,26.0,1.0,0.14444444444444443,5.0,0.0,1.0,8.0,3.3286633954186473,2.8,1.8,1.8,2.8425340807103794,1.0,0.0,0.25,50.0,2.685668302290676,0.037686770493486836,3.1468824672207374,81.67884362858771,4.043364249479018,1.2332866339541864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,27.0,1.0,0.15,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,2.685668302290676,0.038244294954150534,2.788379792992494,18.87133660458135,4.636513937897748,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,28.0,1.0,0.15555555555555556,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.038816141930585066,0.3635856496757047,14.2,3.909075694902712,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,29.0,1.0,0.16111111111111112,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.0394016147153359,0.36379056515036756,14.2,3.9091371695451107,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,30.0,1.0,0.16666666666666666,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.039999999999999994,0.364,14.2,3.9092000000000002,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,31.0,1.0,0.17222222222222222,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.040610568744282184,0.3642136990604987,14.2,3.90926410971815,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,32.0,1.0,0.17777777777777778,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.04123257706421845,0.3644314019724764,14.2,3.9093294205917433,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,33.0,1.0,0.18333333333333332,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.041865267138483986,0.3646528434984694,14.2,3.909395853049541,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999001,R1,34.0,1.0,0.18888888888888888,5.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.25,50.0,0.35,0.04250786813168176,0.36487775384608856,14.2,3.9094633261538267,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0
